,Serial Number,County,Method of Operation,Premise Zip,Georeference,LATITUDE,LONGITUDE
2,1307032,BRONX,LIQUOR STORE SELLING WINE & LIQUOR,10467,POINT (-73.88321 40.881),-73.88321,40.881
6,1300657,BRONX,GROCERY STORE SELLING BEER AND WINE PRODUCTS,10453,POINT (-73.90431 40.8585),-73.90431,40.8585
23,1278037,KINGS,GROCERY STORE SELLING BEER CIDER,11237,POINT (-73.92146 40.70305),-73.92146,40.70305
58,1279273,KINGS,GROCERY STORE SELLING BEER CIDER & WINE PRODUCTS,11226,POINT (-73.96736 40.64775),-73.96736,40.64775
70,1250445,KINGS,LIQUOR STORE SELLING LIQUOR AND WINE,11208,POINT (-73.87105 40.66703),-73.87105,40.66703
116,1217031,KINGS,GROCERY STORE SELLING BEER CIDER AND WINE PRODUCTS,11211,POINT (-73.93338 40.71374),-73.93338,40.71374
126,1261130,QUEENS,GROCERY STORE SELLING BEER,11413,POINT (-73.75971 40.67242),-73.75971,40.67242
152,1107452,NEW YORK,GROCERY STORE SELLING BEER CIDER AND WINE PRODUCTS,10038,POINT (-74.00628 40.70807),-74.00628,40.70807
162,1333772,KINGS,"GROCERY STORE SELLING BEER, CIDER AND WINE PRODUCTS",11201,POINT (-73.99055 40.68662),-73.99055,40.68662
167,1311431,BRONX,GROCERY STORE SELLING BEER & CIDER,10472,POINT (-73.86583 40.83206),-73.86583,40.83206
181,1011262,KINGS,LIQUOR STORE SELLING WINE AND LIQUOR,11201,POINT (-73.99184 40.69083),-73.99184,40.69083
183,1263776,NEW YORK,GROCERY STORE SELLING BEER CIDER AND WINE PRODUCTS,10001,POINT (-73.99258 40.75181),-73.99258,40.75181
187,1312503,QUEENS,LIQUOR STORE SELLING WINE AND LIQUOR,11368,POINT (-73.86744 40.74243),-73.86744,40.74243
188,1316258,QUEENS,GROCERY STORE SELLING BEER WINE PRODUCTS & CIDER,11434,POINT (-73.77517 40.68033),-73.77517,40.68033
189,1332058,QUEENS,"GROCERY STORE SELLING BEER, WINE PRODUCTS AND CIDER",11101,POINT (-73.93425 40.74484),-73.93425,40.74484
215,1337144,KINGS,"LIQUOR STORE SELLING WINE, LIQUOR AND CIDER",11220,POINT (-74.0121 40.63651),-74.0121,40.63651
218,1237933,KINGS,GROCERY STORE SELLING BEER CIDER AND WINE PRODUCTS,11211,POINT (-73.95633 40.71711),-73.95633,40.71711
221,1305729,BRONX,LIQUOR STORE SELLING LIQUOR & WINE,10458,POINT (-73.88635 40.85908),-73.88635,40.85908
231,1268822,NEW YORK,GROCERY STORE SELLING BEER & CIDER.,10019,POINT (-73.97624 40.76303),-73.97624,40.76303
232,1281498,NEW YORK,LIQUOR STORE SELLING LIQUOR & WINE,10003,POINT (-73.98891 40.72692),-73.98891,40.72692
234,1306980,KINGS,LIQUOR STORE SELLING LIQUOR AND WINE,11231,POINT (-74.00143 40.67558),-74.00143,40.67558
240,1293102,KINGS,"GROCERY STORE SELLING BEER,CIDER AND WINE PRODUCTS",11211,POINT (-73.95795 40.71459),-73.95795,40.71459
248,1294047,KINGS,GROCERY STORE SELLING BEER & CIDER,11206,POINT (-73.94245 40.7028),-73.94245,40.7028
252,1270671,QUEENS,GROCERY SELLING BEER & CIDER ONLY,11377,POINT (-73.89561 40.74041),-73.89561,40.74041
261,1275962,KINGS,WINE STORE SELLING WINE,11215,POINT (-73.983 40.66518),-73.983,40.66518
266,1319416,NEW YORK,GROCERY STORE SELLING BEER CIDER AND WINE PRODUCTS,10034,POINT (-73.92109 40.86295),-73.92109,40.86295
267,1345813,NEW YORK,"LIQUOR STORE SELLING WINE, LIQUOR, AND CIDER",10034,POINT (-73.91979 40.86345),-73.91979,40.86345
280,1322774,KINGS,GROCERY STORE SELLING BEER AND WINE PRODUCTS,11220,POINT (-74.01622 40.64305),-74.01622,40.64305
301,1252949,KINGS,"GROCERY STORE SELLING BEER, CIDER, & WINE PRODUCTS",11209,POINT (-74.02713 40.63305),-74.02713,40.63305
302,1302808,QUEENS,GROCERY STORE SELLING BEER WINE PRODUCTS AND CIDER,11361,POINT (-73.76724 40.76056),-73.76724,40.76056
316,1255486,KINGS,GROCERY STORE SELLING BEER CIDER AND WINE PRODUCTS,11229,POINT (-73.95266 40.59952),-73.95266,40.59952
320,1293446,NEW YORK,"GROCERY STORE SELLING BEER,CIDER AND WINE PRODUCTS",10016,POINT (-73.97903 40.74444),-73.97903,40.74444
321,1324917,KINGS,"GROCERY STORE SELLING BEER, WINE AND CIDER",11217,POINT (-73.97414 40.67948),-73.97414,40.67948
329,1206409,KINGS,GROCERY STORE SELLING BEER CIDER AND WINE PRODUCTS,11220,POINT (-74.01834 40.64433),-74.01834,40.64433
332,1324107,BRONX,GROCERY STORE SELLING BEER AND WINE PRODUCTS,10467,POINT (-73.8649 40.87967),-73.8649,40.87967
336,1302611,BRONX,"GROCERY STORE SELLING BEER, CIDER & WINE PRODUCTS",10466,POINT (-73.86378 40.88792),-73.86378,40.88792
344,1002601,BRONX,GROCERY STORE SELLING BEER CIDER & WINE PRODUCTS,10465,POINT (-73.81755 40.81957),-73.81755,40.81957
359,1326665,BRONX,GROCERY STORE SELLING BEER AND WINE PRODUCTS,10454,POINT (-73.91957 40.80707),-73.91957,40.80707
370,1279995,BRONX,GROCERY STORE SELLING BEER CIDER  WINE PRODUCTS,10454,POINT (-73.91776 40.8064),-73.91776,40.8064
