ZIPCODE,Sidewalk Condition Complaints,Street Light Condition Complaints
10083,0,0.2
10001,0.00044617,8.92E-05
10002,0.000467376,0.000602669
10003,0.000357923,0.000196857
10004,0.000914495,0.002743484
10004,0.000914495,0.002743484
10004,0.000914495,0.002743484
10004,0.000914495,0.002743484
10005,0.001356852,0.001480202
10006,0.000332116,0.002656925
10007,0.001229005,0.001911785
10009,0.000276625,4.88E-05
10010,0.000401593,0.000100398
10011,0.000375539,1.98E-05
10012,0.000617894,0.000823859
10013,0.000571735,0.001036269
10014,0.000702247,0.000925689
10016,0.000402886,5.49E-05
10017,0.000376932,0.000188466
10018,0.00199891,0
10019,0.000333603,0
10021,0.000419435,4.42E-05
10022,0.000603591,0
10023,0.000254777,1.59E-05
10024,0.000444285,1.71E-05
10025,0.000249859,2.08E-05
10026,8.74E-05,2.91E-05
10027,0.000238749,0.000153481
10028,0.000357669,8.42E-05
10029,0.000245152,3.87E-05
10030,0.000261976,3.74E-05
10031,0.000105245,3.51E-05
10032,8.68E-05,5.21E-05
10033,0.000147373,9.21E-05
10034,0.000408695,0.000561956
10035,0.000229331,0
10035,0.000229331,0
10036,0.00093446,4.25E-05
10037,5.91E-05,0.000118127
10038,0.000156846,0.001045642
10039,0.000123793,0
10040,9.75E-05,0.000658007
10044,0.000171512,0
10065,0.000657521,0
10075,0.000476134,0
10128,5.38E-05,3.59E-05
10280,0.000315457,0.00126183
10281,0,0.000248942
10301,0.000667689,0.002250359
10302,0.000882856,0.001600177
10303,0.000480627,0.001885537
10304,0.000361428,0.001542094
10305,0.000766541,0.001652853
10306,0.000683429,0.001906406
10307,0.000567537,0.001276958
10308,0.000507026,0.002028104
10309,0.000362384,0.002295102
10310,0.000679918,0.002319722
10312,0.000837521,0.001794688
10314,0.000749151,0.001861173
10451,0.000135931,0.000158586
10452,9.20E-05,0.000473037
10453,0.000141796,0.00045117
10454,0.000907489,0.000213527
10455,0.000200833,0.000527188
10456,0.000134243,0.00014543
10457,0.000241983,0.000412794
10458,0.000176407,0.000214208
10459,0.000363217,0.000683702
10460,0.000247044,0.000723487
10461,0.000633049,0.001721102
10462,0.000211433,0.001202527
10463,0.000438839,0.000566243
10463,0.000438839,0.000566243
10464,0.001577287,0.005182515
10464,0.001577287,0.005182515
10464,0.001577287,0.005182515
10465,0.000714082,0.001594782
10466,0.000290099,0.000507673
10467,0.000153168,0.000847527
10468,5.49E-05,0.000301879
10469,0.000307215,0.001597518
10470,0.000542741,0.000407056
10471,0.000724113,0.000638923
10472,0.000271264,0.001552233
10473,0.000171574,0.001441219
