,Premise Zip,LiquorStorePerZipCode
0,10001,50
1,10002,82
2,10003,74
3,10004,6
4,10005,5
5,10006,5
6,10007,16
7,10009,55
8,10010,40
9,10011,60
10,10012,29
11,10013,40
12,10014,42
13,10016,54
14,10017,28
15,10018,37
16,10019,55
17,10020,1
18,10021,47
19,10022,37
20,10023,33
21,10024,36
22,10025,65
23,10026,24
24,10027,48
25,10028,38
26,10029,76
27,10030,19
28,10031,51
29,10032,58
30,10033,62
31,10034,38
32,10035,37
33,10036,44
34,10037,17
35,10038,24
36,10039,19
37,10040,45
38,10044,4
39,10065,16
40,10069,2
41,10075,9
42,10112,1
43,10118,1
44,10120,1
45,10121,2
46,10128,41
47,10162,1
48,10168,1
49,10280,5
50,10281,2
51,10282,2
52,10301,45
53,10302,34
54,10303,21
55,10304,37
56,10305,37
57,10306,37
58,10307,13
59,10308,17
60,10309,18
61,10310,26
62,10312,27
63,10314,52
64,10407,1
65,10451,61
66,10452,96
67,10453,80
68,10454,56
69,10455,56
70,10456,92
71,10457,88
72,10458,103
73,10459,69
74,10460,72
75,10461,69
76,10462,69
77,10463,58
78,10464,9
79,10465,25
80,10466,42
81,10467,92
82,10468,64
83,10469,49
84,10470,20
85,10471,16
86,10472,86
87,10473,41
88,10474,22
89,10475,22
90,10989,1
91,11003,1
92,11004,7
93,11005,1
94,11101,66
95,11102,36
96,11103,49
97,11104,36
98,11105,40
99,11106,54
100,11109,1
101,11201,61
102,11203,71
103,11204,56
104,11205,55
105,11206,91
106,11207,135
107,11208,122
108,11209,74
109,11210,28
110,11211,124
111,11212,91
112,11213,64
113,11214,86
114,11215,83
115,11216,86
116,11217,50
117,11218,60
118,11219,57
119,11220,123
120,11221,117
121,11222,79
122,11223,78
123,11224,36
124,11225,56
125,11226,98
126,11228,43
127,11229,69
128,11230,53
129,11231,44
130,11232,54
131,11233,70
132,11234,55
133,11235,72
134,11236,64
135,11237,97
136,11238,74
137,11239,5
138,11245,1
139,11249,22
140,11272,1
141,11283,1
142,11323,1
143,11354,43
144,11355,36
145,11356,26
146,11357,28
147,11358,34
148,11360,2
149,11361,31
150,11362,14
151,11363,4
152,11364,17
153,11365,19
154,11366,21
155,11367,25
156,11368,151
157,11369,28
158,11370,15
159,11371,1
160,11372,90
161,11373,81
162,11374,38
163,11375,63
164,11377,103
165,11378,49
166,11379,30
167,11385,158
168,11411,15
169,11412,30
170,11413,26
171,11414,19
172,11415,17
173,11416,29
174,11417,34
175,11418,46
176,11419,59
177,11420,33
178,11421,35
179,11422,14
180,11423,24
181,11426,9
182,11427,14
183,11428,18
184,11429,18
185,11431,1
186,11432,54
187,11433,26
188,11434,48
189,11435,66
190,11436,15
191,11510,1
192,11552,1
193,11566,1
194,11691,36
195,11692,7
196,11693,13
197,11694,24
198,11697,3
199,11712,1
200,11725,1
201,11756,1
202,11783,1
203,12226,1
204,12401,1
