ZIPCODE,kw_potential
00083,0.0
10001,17911.5
10002,28102.5
10003,18188.0
10004,4690.25
10005,2422.75
10006,3124.0
10007,4515.5
10009,19170.75
10010,10418.0
10011,21332.25
10012,12326.25
10013,17718.5
10014,20306.25
10016,12918.25
10017,8156.0
10018,10425.0
10019,23799.5
10020,40.0
10021,7905.0
10022,8308.5
10023,13961.5
10024,13525.25
10025,23560.75
10026,12813.25
10027,33069.0
10028,9113.5
10029,28233.5
10030,9722.25
10031,24879.25
10032,25758.5
10033,24721.25
10034,28443.0
10035,31329.25
10036,12636.5
10037,10133.5
10038,8509.0
10039,8620.5
10040,19111.0
10041,0.0
10043,395.5
10044,4573.25
10045,0.0
10047,0.0
10048,0.0
10055,0.0
10065,7741.0
10069,889.25
10075,4798.5
10080,0.0
10081,0.0
10096,0.0
10097,0.0
10103,0.0
10104,0.0
10105,0.0
10106,50.5
10107,46.0
10110,0.0
10111,185.0
10112,40.0
10115,134.0
10118,0.0
10119,318.0
10120,0.0
10121,0.0
10122,0.0
10123,0.0
10128,11254.5
10151,0.0
10152,0.0
10153,0.0
10154,105.25
10155,0.0
10158,0.0
10162,0.0
10165,66.5
10166,0.0
10167,173.0
10168,0.0
10169,0.0
10170,276.25
10171,0.0
10172,0.0
10173,0.0
10174,0.0
10175,0.0
10176,0.0
10177,0.0
10178,0.0
10196,0.0
10203,0.0
10259,0.0
10260,2027.25
10265,0.0
10270,0.0
10271,0.0
10275,0.0
10278,363.5
10279,0.0
10280,0.0
10281,665.5
10282,1396.0
10285,0.0
10286,0.0
10301,63937.25
10302,35762.25
10303,65568.75
10304,75849.5
10305,91177.75
10306,119476.75
10307,29245.75
10308,51146.25
10309,95264.25
10310,44971.5
10312,134338.25
10314,226949.75
10451,51229.0
10452,43520.25
10453,39551.75
10454,49193.75
10455,30460.25
10456,46284.75
10457,51460.75
10458,46534.75
10459,32355.25
10460,47856.0
10461,53307.5
10462,64520.25
10463,42403.5
10464,105.5
10465,14997.25
10466,60503.5
10467,60529.5
10468,47299.75
10469,67312.0
10470,18191.5
10471,23727.75
10472,44365.5
10473,57598.5
10474,84707.5
10475,30289.75
11001,0.0
11004,23744.0
11005,2175.25
11040,0.0
11096,0.0
11101,160817.0
11102,26938.5
11103,26955.25
11104,17207.0
11105,55513.75
11106,39299.5
11109,506.25
11201,47519.25
11203,90475.75
11204,96189.0
11205,42482.25
11206,67424.0
11207,104893.0
11208,103852.5
11209,87465.25
11210,73678.5
11211,90330.75
11212,64750.5
11213,42494.25
11214,105709.75
11215,57790.0
11216,32917.0
11217,31279.25
11218,76618.25
11219,96504.75
11220,93445.25
11221,55237.5
11222,87624.25
11223,108115.75
11224,50820.75
11225,35207.25
11226,79205.0
11228,56439.0
11229,96600.5
11230,87434.5
11231,64273.5
11232,68363.0
11233,42504.0
11234,173273.75
11235,110294.5
11236,145209.0
11237,67951.25
11238,35629.25
11239,20268.0
11249,0.0
11251,0.0
11354,83709.0
11355,58983.0
11356,59935.75
11357,77500.0
11358,49731.5
11359,2885.25
11360,30155.75
11361,42281.0
11362,34421.75
11363,10557.75
11364,51792.75
11365,51610.0
11366,21226.5
11367,45913.5
11368,64534.75
11369,28080.25
11370,25589.75
11371,0.0
11372,37219.5
11373,60856.25
11374,35269.75
11375,55861.75
11377,81501.5
11378,128469.5
11379,40165.25
11385,107939.0
11411,24781.25
11412,43430.75
11413,67759.25
11414,57937.0
11415,14356.0
11416,23631.5
11417,30822.25
11418,34879.5
11419,31008.25
11420,47690.75
11421,25960.5
11422,45112.25
11423,32640.25
11426,31811.0
11427,24653.0
11428,19964.5
11429,31229.5
11430,84550.75
11432,60547.0
11433,47553.5
11434,91494.0
11435,49189.0
11436,18331.0
11451,0.0
11691,78556.75
11692,24225.75
11693,0.0
11694,41451.75
11697,0.0
