ZIPCODE,kw_potential
11436,18331.0
11213,42494.25
11212,64750.5
11225,35207.25
11218,76618.25
11226,79205.0
11219,96504.75
11210,73678.5
11230,87434.5
11204,96189.0
10471,23727.75
10470,18191.5
10466,60503.5
10467,60529.5
10463,42403.5
10475,30289.75
10464,
10469,67312.0
10468,47299.75
10463,
10458,46534.75
10034,28443.0
10033,24721.25
10462,64520.25
10040,19111.0
10453,39551.75
10465,14997.25
10464,
10464,105.5
10461,53307.5
10457,51460.75
10460,47856.0
10032,25758.5
10452,43520.25
10456,46284.75
10472,44365.5
10031,24879.25
10039,8620.5
10459,32355.25
10451,51229.0
10473,57598.5
10030,9722.25
10027,33069.0
10474,84707.5
10455,30460.25
10037,10133.5
10024,13525.25
10454,49193.75
10026,12813.25
10035,31329.25
10048,
10025,23560.75
11357,77500.0
10029,28233.5
00083,
11356,59935.75
11359,2885.25
11360,30155.75
11105,55513.75
10128,11254.5
10023,13961.5
11363,10557.75
10028,9113.5
11354,83709.0
11102,26938.5
11370,25589.75
10021,7905.0
11358,49731.5
11362,34421.75
10044,4573.25
11369,28080.25
11103,26955.25
11106,39299.5
11368,64534.75
11377,81501.5
11355,58983.0
11101,160817.0
11364,51792.75
10018,10425.0
10020,40.0
11005,2175.25
10017,21.75
10017,180.0
10017,66.5
10017,276.25
10017,7258.0
10017,31.5
10017,173.0
10017,149.0
10001,14787.5
10001,256.25
10001,2506.75
10001,318.0
10001,43.0
10011,21332.25
10016,12918.25
11104,17207.0
11109,506.25
10010,10418.0
11367,45913.5
10014,20306.25
10003,18188.0
11222,87624.25
10002,28102.5
11378,128469.5
10009,19170.75
10012,12326.25
10013,17718.5
10007,4152.0
10007,363.5
11237,67951.25
11385,107939.0
10038,
10038,8509.0
11206,67424.0
10006,3124.0
11412,43430.75
10005,395.5
10005,2027.25
11251,
10004,4690.25
11411,24781.25
11201,47519.25
10004,
11205,42482.25
11208,103852.5
11207,104893.0
10004,
10004,
11413,67759.25
11217,31263.0
11217,16.25
11238,35629.25
11231,64273.5
11422,45112.25
11420,47690.75
11417,30822.25
11215,57790.0
11231,
11232,68363.0
11430,84550.75
11203,90475.75
11239,20268.0
11236,145209.0
11220,93445.25
10301,63937.25
10303,65568.75
11234,173273.75
10302,35762.25
11693,
11209,2382.0
11209,85083.25
10304,75849.5
10314,226949.75
11228,56439.0
11096,
10305,91177.75
11229,96600.5
11214,105709.75
11691,78556.75
11096,
11223,108115.75
11693,
11692,24225.75
11235,110294.5
11693,
10306,119476.75
11694,41451.75
11224,50820.75
10308,51146.25
11697,
10312,134338.25
10309,95264.25
10307,29245.75
10280,
11372,37219.5
11004,23744.0
11040,
11426,31811.0
11365,51610.0
11001,
11375,55861.75
11427,24653.0
11374,35269.75
11366,21226.5
11423,32640.25
11428,19964.5
11432,647.5
11432,55204.75
11432,4694.75
11379,1110.5
11379,39054.75
11429,31229.5
11435,49189.0
11415,14356.0
11418,34879.5
11433,71.5
11433,47482.0
11451,
11221,55237.5
11421,25960.5
11419,31008.25
11434,91494.0
11216,32917.0
11416,23631.5
11233,42504.0
10055,
10019,1364.25
10019,343.75
10019,296.25
10019,21698.75
10019,50.5
10019,46.0
10111,185.0
10153,
10154,105.25
10152,
10115,134.0
10022,105.25
10022,8152.5
10022,50.75
11370,
10065,7741.0
10075,4798.5
10069,889.25
10281,665.5
10282,1396.0
11211,54830.25
11211,35500.5
11373,60856.25
10279,
10165,66.5
10168,
10105,
10118,
10176,
10170,276.25
10112,40.0
10122,
10107,46.0
10103,
10174,
10166,
10169,
10167,173.0
10177,
10172,
10171,
10270,
10104,
10271,
10110,
10175,
10151,
10173,
10178,
10121,
10123,
10106,50.5
10158,
10041,
10120,
10278,363.5
10155,
10043,395.5
10081,
10096,
10097,
10196,
10196,
10275,
10265,
10045,
10047,
10047,
10080,
10203,
10259,
10260,2027.25
10285,
10286,
10035,
11371,
11361,42281.0
10036,12636.5
11414,57937.0
10310,44971.5
11693,
11249,
10162,
10119,318.0
