ZIPCODE,Normalized_Restaurant_Count
10001,0.023914692
10002,0.006284976
10003,0.011811446
10004,0.06264289
10004,0.06264289
10004,0.06264289
10004,0.06264289
10005,0.006907611
10006,0.014945201
10007,0.017615731
10009,0.004946709
10010,0.00803186
10011,0.008400206
10012,0.017301038
10013,0.017187779
10014,0.013023493
10016,0.007032194
10017,0.019035055
10018,0.070688715
10019,0.014773865
10020,inf
10021,0.00326718
10022,0.012886676
10023,0.003089172
10024,0.003263786
10025,0.002300789
10026,0.001777752
10027,0.002643292
10028,0.003997475
10029,0.002619253
10030,0.001047904
10031,0.002052272
10032,0.001926883
10033,0.002321126
10034,0.002835321
10035,0.002407981
10035,0.002407981
10036,0.024933101
10037,0.001476581
10038,0.00914937
10039,0.001072873
10040,0.00192528
10041,inf
10044,0.001372095
10048,inf
10065,0.004752085
10069,0.00034188
10075,0.003690037
10103,inf
10105,inf
10106,inf
10107,inf
10111,inf
10112,inf
10115,inf
10118,inf
10119,inf
10121,inf
10123,inf
10128,0.002439549
10151,inf
10153,inf
10154,inf
10155,inf
10158,inf
10165,inf
10167,inf
10168,inf
10169,inf
10171,inf
10172,inf
10173,inf
10176,inf
10177,inf
10178,inf
10271,inf
10279,inf
10280,0.007570978
10281,0.004232014
10282,0.004107272
10301,0.002472922
10302,0.003972852
10303,0.001441881
10304,0.001277047
10305,0.002131941
10306,0.002212151
10307,0.002270148
10308,0.001883239
10309,0.00256689
10310,0.002319722
10312,0.00128192
10314,0.002130399
10451,0.003443589
10452,0.001313991
10453,0.001276168
10454,0.002215342
10455,0.002585731
10456,0.000850207
10457,0.001352255
10458,0.002520098
10459,0.001773353
10460,0.001164637
10461,0.003026766
10462,0.001982187
10463,0.001755355
10463,0.001755355
10464,0.008787742
10464,0.008787742
10464,0.008787742
10465,0.001713796
10466,0.001305445
10467,0.001511253
10468,0.001385897
10469,0.001413189
10470,0.002781547
10471,0.002385313
10472,0.001627585
10473,0.000549036
10474,0.002687078
10475,0.001490313
11001,0.000507099
11004,0.002717391
11005,0.000566091
11040,0.007237122
11101,0.012036261
11102,0.002592505
11103,0.006407909
11104,0.005382092
11105,0.003685038
11106,0.00462951
11109,0.002180233
11201,0.00829547
11203,0.001767871
11204,0.001706441
11205,0.003890578
11206,0.002285372
11207,0.001485741
11208,0.001186315
11209,0.003595408
11210,0.001222658
11211,0.006473768
11212,0.001311616
11213,0.001585878
11214,0.002211967
11215,0.005452649
11216,0.003768891
11217,0.00811143
11218,0.002006087
11219,0.001069565
11220,0.003711815
11221,0.001782331
11222,0.006636376
11223,0.00214114
11224,0.001955645
11225,0.002529765
11226,0.001969246
11228,0.001346332
11229,0.001545071
11230,0.001261486
11231,0.005129133
11231,0.005129133
11232,0.004369771
11233,0.001273656
11234,0.001805412
11235,0.002049126
11236,0.001280694
11237,0.005351171
11238,0.0052503
11239,0.001432893
11249,0.006636003
11354,0.007483981
11355,0.002439348
11356,0.002438085
11357,0.001720419
11358,0.004027237
11360,0.001212249
11361,0.005053341
11362,0.003049641
11363,0.00184136
11364,0.001443852
11365,0.001455784
11366,0.003873026
11367,0.001077251
11368,0.002227947
11369,0.002282506
11370,0.000591264
11370,0.000591264
11371,inf
11372,0.005132361
11373,0.002409115
11374,0.002011461
11375,0.003179929
11377,0.002377493
11378,0.002396189
11379,0.001270182
11385,0.002925759
11411,0.001043039
11412,0.001227905
11413,0.00127068
11414,0.002103411
11415,0.001790416
11416,0.001888054
11417,0.002555843
11418,0.002294643
11419,0.002125218
11420,0.002088105
11421,0.001922387
11422,0.001393543
11423,0.001124227
11426,0.001446384
11427,0.00077477
11428,0.001966203
11429,0.001035197
11430,8.375
11432,0.002786951
11433,0.00071261
11434,0.00148304
11435,0.00202232
11436,0.001284728
11691,0.000696899
11692,0.000721501
11693,0.003257329
11693,0.003257329
11693,0.003257329
11693,0.003257329
11694,0.002281407
11697,0.000735474
