,ZIPCODE,NORMALIZED_SMOKE
0,10001,-5.506536920127061
1,10002,-7.043282917218508
2,10003,-6.654259902733657
3,10004,-4.745847041510327
4,10005,-6.167269820931491
5,10006,-6.2182680592536785
6,10007,-5.679899534192869
7,10009,-7.055768565096959
8,10010,-6.870990901403735
9,10011,-6.899762638445315
10,10012,-6.663256282470599
11,10013,-6.43276144155514
12,10014,-6.545605055559918
13,10016,-6.9566553272239835
14,10017,-5.723962104784367
15,10018,-4.3935409718836524
16,10019,-6.101320263344636
18,10021,-7.287053031687134
19,10022,-6.249462321162655
20,10023,-7.646512970794134
21,10024,-7.450780418546881
22,10025,-7.560642806878003
23,10026,-7.111075059919511
24,10027,-7.008863369657001
25,10028,-7.436911859432851
26,10029,-6.981405805253602
27,10030,-6.555581467924196
28,10031,-7.2133123517422595
29,10032,-7.247809941221371
30,10033,-7.188412736496954
31,10034,-7.141142953823417
32,10035,-6.470799503782602
33,10036,-6.041232124609801
34,10037,-7.171952182666695
35,10038,-6.30350816690112
36,10039,-7.050989447068045
37,10040,-7.289927389819388
38,10044,-9.364005219520333
40,10065,-6.984088883177501
41,10069,-8.674196940225903
42,10075,-7.362129591793176
48,10128,-7.632759948235071
57,10280,-6.962874578203216
58,10281,-7.605143453799337
59,10282,-8.328209491748732
60,10301,-6.996607303283022
61,10302,-7.096886927704641
62,10303,-6.909531478383393
63,10304,-7.136989336362159
64,10305,-7.0284410046616275
65,10306,-7.399613926198585
66,10307,-7.251061255181915
67,10308,-7.517955538721156
68,10309,-7.149614894646074
69,10310,-6.948697266302968
70,10312,-7.681047726058845
71,10314,-7.277915162239945
72,10451,-6.910932045892467
73,10452,-6.740046434556028
74,10453,-6.996333502943067
75,10454,-6.746999500102743
76,10455,-6.660650465222888
77,10456,-6.900954427751633
78,10457,-6.660048620580245
79,10458,-6.781965272923837
80,10459,-6.861903650228222
81,10460,-6.850655686941564
82,10461,-6.461250589392252
83,10462,-7.156652475493189
84,10463,-7.358703501692713
85,10464,-7.011664742372648
86,10465,-7.510216354813516
87,10466,-7.334358360613705
88,10467,-6.83806828909972
89,10468,-7.153477099695516
90,10469,-7.446109029335399
91,10470,-6.507277712385012
92,10471,-7.665881224667138
93,10472,-6.812330024063774
94,10473,-7.677246026129416
95,10474,-6.371286193886961
96,10475,-7.9805856715297345
97,11001,-6.893656354602635
98,11004,-8.275206552300547
99,11005,-8.169902647359145
100,11040,-6.663132695990803
101,11101,-6.168240452130882
102,11102,-6.998480182397015
103,11103,-6.701332849378905
104,11104,-6.989408995975331
105,11105,-6.96078135694701
106,11106,-6.825020458759767
107,11201,-6.784475916155239
108,11203,-7.481043406816345
109,11204,-7.592585921527385
110,11205,-6.935492033953737
111,11206,-6.879152415034792
112,11207,-6.821342653186513
113,11208,-7.09869345203697
114,11209,-7.018416238564107
115,11210,-7.64771149590646
116,11211,-6.494559277420398
117,11212,-6.918134958186524
118,11213,-7.280537018549173
119,11214,-7.093011713993844
120,11215,-7.012146904364703
121,11216,-6.833737488438325
122,11217,-6.724023637576909
123,11218,-7.199318698141891
124,11219,-7.722051098907828
125,11220,-7.115664385857723
126,11221,-6.781818210251195
127,11222,-6.474634467305119
128,11223,-6.970592353479951
129,11224,-7.444450282726545
130,11225,-7.135811189323984
131,11226,-7.254950767854962
132,11228,-7.0872951928142145
133,11229,-7.478207379524679
134,11230,-7.408617143233367
135,11231,-6.912109422290758
136,11232,-6.796349592012926
137,11233,-6.9496317173809965
138,11234,-7.4483688049578625
139,11235,-7.232864499067787
140,11236,-7.564323152760617
141,11237,-6.557893805241908
142,11238,-6.900580666723415
143,11239,-9.438431663014326
144,11249,-7.484403755029257
145,11354,-7.239539674075743
146,11355,-7.797931505502419
147,11356,-7.494644105050134
148,11357,-7.679508237891089
149,11358,-7.280458768997758
150,11360,-8.464477833744242
151,11361,-7.484930283289661
152,11362,-7.702273778926381
153,11363,-7.763588041819178
154,11364,-7.947354493814751
155,11365,-7.970691042626198
156,11366,-7.288320345580631
157,11367,-7.80679213273767
158,11368,-7.193016741192557
159,11369,-7.658017662571914
160,11370,-7.666862666973029
162,11372,-7.443438604899961
163,11373,-7.208175870882106
164,11374,-7.367404560585727
165,11375,-7.638884060324275
166,11377,-7.099498974354996
167,11378,-6.6478857262190685
168,11379,-7.339763531000324
169,11385,-6.778662998495656
170,11411,-7.412160334945205
171,11412,-7.029658845835627
172,11413,-7.402172010214079
173,11414,-7.606578627271084
174,11415,-7.366761154018332
175,11416,-7.253037797192991
176,11417,-6.858635060350723
177,11418,-6.981634233316641
178,11419,-7.20370309585095
179,11420,-7.093180123701377
180,11421,-7.4806333816965624
181,11422,-7.605525092027526
182,11423,-7.138966201374106
183,11426,-7.508089159936345
184,11427,-7.431208529915899
185,11428,-7.539984044572665
186,11429,-7.298047028177784
188,11432,-6.9089642253312755
189,11433,-6.735750322590133
190,11434,-7.161346126599006
191,11435,-6.993820630399359
192,11436,-7.532677150546516
193,11691,-7.540804066430533
194,11692,-8.00736706798333
195,11693,-6.7454173285817705
196,11694,-7.021232762741911
197,11697,-8.313607139317558
