CAMIS,DBA,ZIPCODE,Latitude,Longitude
30075445,MORRIS PARK BAKE SHOP,10462.0,40.848231224526,-73.855971889932
30112340,WENDY'S,11225.0,40.662651518808,-73.962081374927
30191841,DJ REYNOLDS PUB AND RESTAURANT,10019.0,40.767325711553,-73.984310423617
40356018,RIVIERA CATERERS,11224.0,40.579920366974,-73.98209024916
40356483,WILKEN'S FINE FOOD,11234.0,40.620111590927,-73.906989489698
40356731,TASTE THE TROPICS ICE CREAM,11226.0,40.640795017461,-73.948487981531
40357217,WILD ASIA,10460.0,40.850555961413,-73.882451432726
40359480,1 EAST 66TH STREET KITCHEN,10065.0,40.768546914232,-73.969580578452
40359705,NATHAN'S FAMOUS,11224.0,40.575536869421,-73.981652264112
40360045,SEUDA FOODS,11223.0,40.606186921432,-73.965466445897
40360076,CARVEL,11218.0,40.643329721911,-73.978188715503
40361618,SAL'S DELI,11356.0,40.781673836068,-73.839415976831
40361998,STEVE CHU'S DELI & GROCERY,11106.0,40.764571212478,-73.938825461701
40362264,P & S DELI GROCERY,10025.0,40.792620635885,-73.96770961573
40362274,ANGELIKA FILM CENTER,10012.0,40.725743617441,-73.997478107592
40362432,HO MEI RESTAURANT,11368.0,40.753305911581,-73.864295375778
40362869,SHASHEMENE INT'L RESTAURANT,11203.0,40.651983222786,-73.924574944152
40363298,CAFE METRO,10018.0,40.756185423077,-73.990564733785
40363427,BAGELS N BUNS,10314.0,40.610267863828,-74.146401210286
40363834,CARVEL,10305.0,40.598553130746,-74.079646008177
40363920,NEW GOLDEN BILLION,11212.0,40.662140594575,-73.92718021322
40364179,SPOONBREAD TOO,10025.0,40.80137126967,-73.96015994361
40364220,KOSHER BAGEL HOLE,11230.0,40.625111128727,-73.962034339365
40364296,HAPPY GARDEN,10458.0,40.863648812188,-73.894239617341
40364305,PHILADELPHIA GRILLE EXPRESS,11209.0,40.612722489797,-74.033751771822
40364335,PETER LUGER STEAKHOUSE,11211.0,40.709806716697,-73.962003949182
40364347,METROPOLITAN CLUB,10022.0,40.764795521845,-73.97230783434
40364373,ISLE OF CAPRI RESTURANT,10065.0,40.76270773611,-73.965749576014
40364389,OLD TOWN BAR & RESTAURANT,10003.0,40.73759507351,-73.989647208522
40364404,POLISH NATIONAL HOME,11222.0,40.722622173128,-73.948301829523
40364439,SEVILLA RESTAURANT,10014.0,40.734908378121,-74.00297328507
40364443,CRIMINAL COURT BLDG CAFETERIA,10013.0,40.71607656565,-74.001424896229
40364449,GOTTSCHEER HALL,11385.0,40.706647972614,-73.90573574011
40364467,NYAC MAIN DINING ROOM,10019.0,40.766718222992,-73.978736594767
40364518,7B BAR,10009.0,40.724984562415,-73.981282649047
40364531,CAFE ATELIER (ART STUDENTS LEAGUE),10019.0,40.765886941316,-73.980895665472
40364572,DONOHUE'S STEAK HOUSE,10065.0,40.765512884509,-73.965769788003
40364581,JUNIOR'S,11201.0,40.690200145894,-73.981624196473
40364668,MARCHIS RESTAURANT,10016.0,40.743332794963,-73.978336291181
40364715,OLD HOMESTEAD,10011.0,40.741372224356,-74.005037755098
40364744,NEW PARK PIZZERIA & RESTAURANT,11414.0,40.663101703308,-73.840837932811
40364858,DOUGLASTON CLUB,11363.0,40.776329722511,-73.752835442703
40364956,THE NEW STARLING ATHLETIC CLUB OF THE BRONX,10462.0,40.830610122115,-73.849646682665
40365013,CRYSTAL ROOM,10305.0,40.592814177678,-74.070677121271
40365075,MCSORLEY'S OLD ALE HOUSE,10003.0,40.728584000789,-73.989536765481
40365120,SOUTH SHORE SWIMMING CLUB,10309.0,40.508068517904,-74.228282145067
40365166,CORNER BISTRO,10014.0,40.737924847314,-74.003861116033
40365226,NOSTRAND DONUT SHOP,11226.0,40.650975896814,-73.949579249402
40365239,DORRIAN'S RED HAND RESTAURANT,10028.0,40.776404966262,-73.952802065662
40365264,LA GRENOUILLE,10022.0,40.759658161533,-73.975977435444
40365288,KEATS RESTAURANT,10017.0,40.751598370567,-73.970894901051
40365387,ARTURO'S,10012.0,40.727234052041,-74.000515935209
40365499,YANKEE TAVERN,10451.0,40.827557861039,-73.925141196877
40365525,DONUT PUB,10011.0,40.738748341271,-74.000144342577
40365546,REBEN LUNCHEONETTE,11211.0,40.709039945161,-73.959151290226
40365577,V & T RESTAURANT,10025.0,40.803329420525,-73.963611914951
40365627,JAHN'S RESTAURANT,11372.0,40.74965336582,-73.885073567329
40365632,J&V FAMOUS PIZZA,11204.0,40.619956732515,-73.989352140632
40365644,JOE ALLEN RESTAURANT,10036.0,40.760178896668,-73.988882031739
40365784,GARGIULO'S RESTAURANT,11224.0,40.576555331866,-73.982584323148
40365789,PATSY'S ITALIAN RESTAURANT,10019.0,40.765618195284,-73.98239751366
40365841,PARKSIDE RESTAURANT,11368.0,40.743725104829,-73.856238382915
40365844,LAVELLE'S ADMIRAL'S CLUB,11103.0,40.757002312956,-73.914799999814
40365871,NEARY'S PUB,10022.0,40.758639389205,-73.963748322244
40365882,NEW YORK PIZZA SUPREMA,10001.0,40.750031951553,-73.995040989424
40365904,MEE SUM CAFE,10013.0,40.714860627928,-73.998199974185
40365938,NANCY'S RESTAURANT,11001.0,40.727412703327,-73.709620966368
40365942,HOP KEE RESTAURANT,10013.0,40.71436383248,-73.998784360399
40365968,NANCY WHISKEY PUB,10013.0,40.720539457665,-74.005010921281
40365972,BLARNEY BAR,11435.0,40.701803341646,-73.808675609014
40366002,MARGHERITA PIZZA,11432.0,40.704667713048,-73.796822882442
