,ZIPCODE,RestaurantPerZipCode
0,10001.0,536
1,10002.0,511
2,10003.0,660
3,10004.0,137
4,10005.0,56
5,10006.0,45
6,10007.0,129
7,10009.0,304
8,10010.0,240
9,10011.0,425
10,10012.0,420
11,10013.0,481
12,10014.0,408
13,10016.0,384
14,10017.0,303
15,10018.0,389
16,10019.0,620
17,10020.0,47
18,10021.0,148
19,10022.0,427
20,10023.0,194
21,10024.0,191
22,10025.0,221
23,10026.0,61
24,10027.0,155
25,10028.0,190
26,10029.0,203
27,10030.0,28
28,10031.0,117
29,10032.0,111
30,10033.0,126
31,10034.0,111
32,10035.0,84
33,10036.0,587
34,10037.0,25
35,10038.0,175
36,10039.0,26
37,10040.0,79
38,10041.0,2
39,10044.0,16
40,10048.0,1
41,10065.0,159
42,10069.0,2
43,10075.0,93
44,10103.0,1
45,10105.0,5
46,10106.0,3
47,10107.0,1
48,10111.0,7
49,10112.0,19
50,10115.0,1
51,10118.0,11
52,10119.0,9
53,10121.0,85
54,10123.0,2
55,10128.0,136
56,10151.0,1
57,10153.0,3
58,10154.0,2
59,10155.0,1
60,10158.0,2
61,10165.0,2
62,10167.0,4
63,10168.0,2
64,10169.0,19
65,10171.0,1
66,10172.0,2
67,10173.0,1
68,10176.0,1
69,10177.0,1
70,10178.0,3
71,10179.0,2
72,10271.0,4
73,10279.0,1
74,10280.0,24
75,10281.0,17
76,10282.0,17
77,10301.0,100
78,10302.0,72
79,10303.0,39
80,10304.0,53
81,10305.0,89
82,10306.0,123
83,10307.0,32
84,10308.0,52
85,10309.0,85
86,10310.0,58
87,10312.0,75
88,10314.0,182
89,10451.0,152
90,10452.0,100
91,10453.0,99
92,10454.0,83
93,10455.0,103
94,10456.0,76
95,10457.0,95
96,10458.0,200
97,10459.0,83
98,10460.0,66
99,10461.0,153
100,10462.0,150
101,10463.0,124
102,10464.0,39
103,10465.0,72
104,10466.0,90
105,10467.0,148
106,10468.0,101
107,10469.0,92
108,10470.0,41
109,10471.0,56
110,10472.0,108
111,10473.0,32
112,10474.0,33
113,10475.0,61
114,11001.0,2
115,11004.0,32
116,11005.0,2
117,11040.0,17
118,11101.0,316
119,11102.0,88
120,11103.0,245
121,11104.0,146
122,11105.0,136
123,11106.0,179
124,11109.0,6
125,11201.0,440
126,11203.0,138
127,11204.0,132
128,11205.0,160
129,11206.0,191
130,11207.0,139
131,11208.0,112
132,11209.0,249
133,11210.0,82
134,11211.0,394
135,11212.0,110
136,11213.0,99
137,11214.0,197
138,11215.0,345
139,11216.0,203
140,11217.0,297
141,11218.0,145
142,11219.0,99
143,11220.0,361
144,11221.0,143
145,11222.0,241
146,11223.0,171
147,11224.0,97
148,11225.0,143
149,11226.0,209
150,11228.0,58
151,11229.0,123
152,11230.0,102
153,11231.0,170
154,11232.0,129
155,11233.0,85
156,11234.0,155
157,11235.0,156
158,11236.0,121
159,11237.0,264
160,11238.0,245
161,11239.0,18
162,11241.0,1
163,11242.0,1
164,11249.0,189
165,11354.0,438
166,11355.0,202
167,11356.0,57
168,11357.0,67
169,11358.0,152
170,11360.0,23
171,11361.0,144
172,11362.0,54
173,11363.0,13
174,11364.0,49
175,11365.0,59
176,11366.0,51
177,11367.0,45
178,11368.0,243
179,11369.0,87
180,11370.0,24
181,11371.0,2
182,11372.0,342
183,11373.0,244
184,11374.0,86
185,11375.0,218
186,11377.0,216
187,11378.0,85
188,11379.0,45
189,11385.0,288
190,11411.0,19
191,11412.0,43
192,11413.0,50
193,11414.0,55
194,11415.0,34
195,11416.0,48
196,11417.0,73
197,11418.0,84
198,11419.0,100
199,11420.0,93
200,11421.0,75
201,11422.0,42
202,11423.0,34
203,11426.0,29
204,11427.0,17
205,11428.0,37
206,11429.0,26
207,11430.0,134
208,11432.0,173
209,11433.0,24
210,11434.0,86
211,11435.0,108
212,11436.0,24
213,11691.0,42
214,11692.0,13
215,11693.0,36
216,11694.0,46
217,11697.0,3
218,12345.0,1
