,ZIPCODE,geometry,VENDOR TYPE
0,10001,POINT (986433.2791466371 213174.1461397298),CONVENIENCE STORE
1,10001,POINT (986857.2298118816 212879.0842907277),TOBACCO RETAIL
2,10001,POINT (987745.6644399439 211811.6953784612),OTHER
3,10001,POINT (987561.029425625 210441.7825562418),GROCERY SUPERMARKET
4,10001,POINT (986549.1953482628 212103.00696309586),GROCERY SUPERMARKET
5,10001,POINT (988267.7625507036 211483.89005471213),STAND
6,10001,POINT (986443.6582328131 211651.233741341),CONVENIENCE STORE
7,10001,POINT (985209.5374728505 211665.72030314355),GROCERY SUPERMARKET
8,10001,POINT (985364.272657948 213734.76242192576),GROCERY SUPERMARKET
9,10001,POINT (983206.3201885779 213622.20025159337),GROCERY SUPERMARKET
10,10001,POINT (987699.9730773601 211545.7183943284),CONVENIENCE STORE
11,10001,POINT (985659.3815721943 213543.08902194598),GROCERY SUPERMARKET
12,10001,POINT (986876.8392399728 211082.9347876398),STAND
13,10001,POINT (985727.7382995398 210754.92098790174),GROCERY SUPERMARKET
14,10001,POINT (986062.0194377864 213319.85834668647),GROCERY SUPERMARKET
15,10001,POINT (986092.6256036524 211512.77585079917),STAND
16,10001,POINT (983309.3189040103 211953.5397481883),GROCERY SUPERMARKET
17,10001,POINT (986558.9850570718 210999.091170728),BAR/LOUNGE
18,10001,POINT (986977.4801305596 211303.81744307664),DELICATESSEN
19,10001,POINT (987527.8755082258 211895.47631462367),GROCERY SUPERMARKET
20,10001,POINT (987016.2445971591 213061.26074765448),GROCERY SUPERMARKET
21,10001,POINT (986411.1696795425 212507.40956377258),STAND
22,10001,POINT (987489.1268674824 211622.21765911032),GROCERY SUPERMARKET
23,10001,POINT (986386.4391444833 213418.2322433254),GROCERY SUPERMARKET
24,10001,POINT (986904.0211308755 213130.4626091316),GROCERY SUPERMARKET
25,10001,POINT (984568.6175803571 214073.94334116761),CONVENIENCE STORE
26,10001,POINT (983650.0407511415 214065.99711000267),CONVENIENCE STORE
27,10001,POINT (987192.9052790649 211531.08489168406),GROCERY SUPERMARKET
28,10001,POINT (986857.2298118816 212879.0842907277),OTHER
29,10001,POINT (987204.5772414019 211232.33366090487),TOBACCO RETAIL
30,10001,POINT (983353.3785915788 212033.7002594994),GROCERY SUPERMARKET
31,10001,POINT (986601.5479933947 212292.46944351666),GROCERY SUPERMARKET
32,10001,POINT (986659.4350011881 211760.95459741994),CONVENIENCE/GAS
33,10001,POINT (986307.3220177745 211727.7348215805),GROCERY SUPERMARKET
34,10001,POINT (982410.2842373175 213002.87602078676),GROCERY SUPERMARKET
35,10001,POINT (986661.447010414 212693.98144172732),STAND
36,10001,POINT (984786.683017806 212744.14032779893),GROCERY SUPERMARKET
37,10001,POINT (987375.4651644817 211979.2526008001),STAND
38,10001,POINT (985269.6016096409 213760.65828536567),GROCERY SUPERMARKET
39,10001,POINT (988290.4129396867 211727.9839266625),BAR/LOUNGE
40,10001,POINT (986828.9816789152 212736.97274685555),CONVENIENCE STORE
41,10001,POINT (983599.7151324607 212704.0618225325),DELICATESSEN
42,10001,POINT (984716.5956753464 212638.47742921938),GROCERY SUPERMARKET
43,10001,POINT (986707.1815077768 211505.53198570153),TOBACCO RETAIL
44,10001,POINT (987046.391358749 211351.71527467857),GROCERY SUPERMARKET
45,10001,POINT (984075.1688724183 211702.13371814578),GROCERY SUPERMARKET
46,10001,POINT (984854.8123087496 214048.4498873525),GROCERY SUPERMARKET
47,10001,POINT (986062.0194377864 213319.85834668647),STAND
48,10001,POINT (987615.7412641125 211509.27481760827),BAR/LOUNGE
49,10001,POINT (985980.146152603 211203.06711410612),GROCERY SUPERMARKET
50,10001,POINT (985405.7000741471 212026.42784910745),CONVENIENCE/GAS
51,10001,POINT (985202.6169316701 211654.7871531373),GROCERY SUPERMARKET
52,10001,POINT (984931.6636225417 211275.89381624118),STAND
53,10001,POINT (984049.6677727915 211654.7692856916),GROCERY SUPERMARKET
54,10001,POINT (986092.6256036524 211512.77585079917),GROCERY SUPERMARKET
55,10001,POINT (987534.7375644287 210270.53752180646),CONVENIENCE STORE
56,10001,POINT (984995.6489051589 211283.1637573642),RESTAURANT/ATUPA
57,10001,POINT (988528.1246617534 211953.91385682748),STAND
58,10001,POINT (985631.7671019988 212434.4880571787),CONVENIENCE STORE
59,10001,POINT (987408.8398032899 211079.34904360736),STAND
60,10001,POINT (987419.2924178609 211425.45236025914),GROCERY SUPERMARKET
61,10001,POINT (984485.5261527215 214197.83509856547),GROCERY SUPERMARKET
62,10001,POINT (987633.0992072285 212445.63232652552),GROCERY SUPERMARKET
63,10001,POINT (986857.2298118816 212879.0842907277),STAND
64,10001,POINT (987378.4137641264 210543.77017975386),CONVENIENCE STORE
65,10001,POINT (985555.0365819539 212401.70119875646),CONVENIENCE STORE
66,10001,POINT (984837.6564137534 212849.78766086564),RESTAURANT/ATUPA
67,10001,POINT (985009.2115162814 211308.67835053004),CONVENIENCE STORE
68,10001,POINT (987247.1833579137 211788.66011494645),GROCERY SUPERMARKET
69,10001,POINT (985920.7229442098 213079.39179684123),STAND
70,10001,POINT (986783.1759705922 210951.70556070638),GROCERY SUPERMARKET
71,10001,POINT (985659.3815721943 213543.08902194598),STAND
72,10001,POINT (985269.6016096409 213760.65828536567),CONVENIENCE STORE
73,10001,POINT (986336.8014725181 213137.43226566818),OTHER
74,10001,POINT (986426.7066545313 212398.11456936775),STAND
75,10001,POINT (984786.683017806 212744.14032779893),GROCERY SUPERMARKET
76,10001,POINT (985920.7229442098 213079.39179684123),STAND
77,10001,POINT (986864.8335011504 211713.2064525067),CONVENIENCE STORE
78,10001,POINT (987250.8234097955 211756.99682535377),STAND
79,10001,POINT (986281.84278175 211749.58240019155),GROCERY SUPERMARKET
80,10001,POINT (986527.718551757 210558.242164095),GROCERY SUPERMARKET
81,10001,POINT (986627.4895466933 210631.130507046),STAND
82,10001,POINT (986503.335453814 210514.52479263855),CONVENIENCE STORE
83,10001,POINT (986245.1474551609 213532.75720042546),STAND
84,10001,POINT (988528.1246617534 211953.91385682748),GROCERY SUPERMARKET
85,10001,POINT (986370.76569726 212831.79758667853),STAND
86,10001,POINT (985044.9457222889 211596.50000175426),STAND
87,10001,POINT (986062.0194377864 213319.85834668647),STAND
88,10001,POINT (988405.3774111494 211851.86532582957),GROCERY SUPERMARKET
89,10001,POINT (986062.0194377864 213319.85834668647),STAND
90,10001,POINT (986912.6157747253 213112.24766402),GROCERY SUPERMARKET
91,10036,POINT (990059.7239573041 214719.52300245294),GROCERY SUPERMARKET
92,10036,POINT (988655.1569852616 214289.31322553082),STAND
93,10036,POINT (988192.3359481419 215152.69591357186),STAND
94,10036,POINT (987760.8152240969 216249.26481946785),GROCERY SUPERMARKET
95,10036,POINT (986896.7013951043 216577.05724315403),GROCERY SUPERMARKET
96,10036,POINT (989217.5460792914 214329.48782997567),OTHER
97,10036,POINT (986864.0135528764 216737.3477522316),GROCERY SUPERMARKET
98,10036,POINT (989473.6817990332 215003.54586452674),GROCERY SUPERMARKET
